Device,Status,Start Datetime,End Datetime,latitude,longitude,Length (mi),Top speed (mph),Avg Speed (mph),Engine Idle in Minutes,Duration in Minutes
#2,Stopped,04/25/2024 11:35,04/25/2024 12:11,35.833718,-78.855834,,,,14.5,36.233333333333334
#2,Moving,04/25/2024 12:11,04/25/2024 12:26,,,3.0,50.3,12.0,,15.05
#2,Stopped,04/25/2024 12:26,04/25/2024 23:30,35.860453,-78.821403,,,,1.1333333333333333,664.4
#1,Stopped,04/23/2024 00:03,04/23/2024 04:00,35.860327,-78.820867,,,,0.6166666666666667,262.1
#1,Moving,04/23/2024 04:00,04/23/2024 04:10,,,4.8,60.2,27.0,,10.5
#1,Stopped,04/23/2024 04:10,04/23/2024 04:30,35.860532,-78.821416,,,,19.333333333333332,19.333333333333332
#1,Moving,04/23/2024 04:30,04/23/2024 04:40,,,4.8,55.3,26.2,,10.783333333333333
#1,Stopped,04/23/2024 04:40,04/23/2024 05:02,35.860545,-78.821406,,,,21.616666666666667,21.616666666666667
#1,Moving,04/23/2024 05:02,04/23/2024 05:20,,,4.7,54.8,16.2,,17.483333333333334
#1,Stopped,04/23/2024 05:20,04/23/2024 05:34,35.860306,-78.820864,,,,14.283333333333333,14.283333333333333
#1,Moving,04/23/2024 05:34,04/23/2024 05:46,,,4.9,51.7,24.2,,12.033333333333333
#1,Stopped,04/23/2024 05:46,04/23/2024 05:59,35.860537,-78.821423,,,,12.783333333333333,12.783333333333333
#1,Moving,04/23/2024 05:59,04/23/2024 05:59,,,0.0,7.3,0.7,,0.5166666666666667
#1,Stopped,04/23/2024 05:59,04/23/2024 06:33,35.860297,-78.820858,,,,33.38333333333333,33.38333333333333
#1,Moving,04/23/2024 06:33,04/23/2024 06:38,,,0.9,39.0,11.1,,5.0
#1,Stopped,04/23/2024 06:38,04/23/2024 06:57,35.860313,-78.82083,,,,9.983333333333333,19.483333333333334
#1,Moving,04/23/2024 06:57,04/23/2024 07:01,,,2.3,53.9,32.3,,4.216666666666667
#1,Stopped,04/23/2024 07:01,04/23/2024 07:10,35.873836,-78.791004,,,,8.566666666666666,8.566666666666666
#1,Moving,04/23/2024 07:10,04/23/2024 07:15,,,2.6,58.5,28.4,,5.466666666666667
#1,Stopped,04/23/2024 07:15,04/23/2024 07:31,35.860366,-78.820886,,,,2.783333333333333,15.566666666666666
#1,Moving,04/23/2024 07:31,04/23/2024 07:48,,,5.6,51.1,18.9,,17.583333333333332
#1,Stopped,04/23/2024 07:48,04/23/2024 08:03,35.860291,-78.820833,,,,1.05,14.716666666666667
#1,Moving,04/23/2024 08:03,04/23/2024 08:18,,,5.3,46.9,21.1,,15.05
#1,Stopped,04/23/2024 08:18,04/23/2024 09:21,35.860328,-78.820865,,,,10.116666666666667,63.233333333333334
#1,Moving,04/23/2024 09:21,04/23/2024 09:28,,,2.9,52.0,25.4,,6.783333333333333
#1,Stopped,04/23/2024 09:28,04/23/2024 09:38,35.876221,-78.793084,,,,9.75,9.75
#1,Moving,04/23/2024 09:38,04/23/2024 09:42,,,2.0,49.2,27.7,,4.233333333333333
#1,Stopped,04/23/2024 09:42,04/23/2024 09:50,35.86038,-78.820861,,,,2.35,7.85
#1,Moving,04/23/2024 09:50,04/23/2024 10:04,,,4.9,57.1,21.4,,13.716666666666667
#1,Stopped,04/23/2024 10:04,04/23/2024 10:19,35.860324,-78.820812,,,,1.0333333333333334,15.133333333333333
#1,Moving,04/23/2024 10:19,04/23/2024 10:29,,,4.7,54.8,26.5,,10.55
#1,Stopped,04/23/2024 10:29,04/23/2024 10:38,35.860317,-78.820856,,,,0.36666666666666664,8.8
#1,Moving,04/23/2024 10:38,04/23/2024 10:50,,,4.7,58.5,23.4,,11.933333333333334
#1,Stopped,04/23/2024 10:50,04/23/2024 11:04,35.860326,-78.820817,,,,0.5166666666666667,14.1
#1,Moving,04/23/2024 11:04,04/23/2024 11:14,,,4.7,55.4,29.9,,9.333333333333334
#1,Stopped,04/23/2024 11:14,04/23/2024 11:39,35.860283,-78.820791,,,,1.6833333333333333,25.233333333333334
#1,Moving,04/23/2024 11:39,04/23/2024 11:52,,,5.2,53.4,24.7,,12.75
#1,Stopped,04/23/2024 11:52,04/23/2024 12:09,35.860314,-78.820859,,,,1.9666666666666668,17.233333333333334
#1,Moving,04/23/2024 12:09,04/23/2024 12:29,,,8.0,53.8,23.3,,20.516666666666666
#1,Stopped,04/23/2024 12:29,04/23/2024 13:42,35.860312,-78.820807,,,,7.516666666666667,72.3
#1,Moving,04/23/2024 13:42,04/23/2024 13:55,,,5.3,49.5,22.8,,13.85
#1,Stopped,04/23/2024 13:55,04/23/2024 16:05,35.860352,-78.820875,,,,1.95,129.2
#1,Moving,04/23/2024 16:05,04/23/2024 16:18,,,5.1,51.8,22.5,,13.4
#1,Stopped,04/23/2024 16:18,04/23/2024 17:33,35.860317,-78.820833,,,,2.2,75.38333333333334
#1,Moving,04/23/2024 17:33,04/23/2024 17:53,,,5.1,51.8,15.7,,19.2
#1,Stopped,04/23/2024 17:53,04/23/2024 18:54,35.860292,-78.820815,,,,1.45,61.45
#1,Moving,04/23/2024 18:54,04/23/2024 19:10,,,5.0,48.8,18.4,,16.35
#1,Stopped,04/23/2024 19:10,04/23/2024 19:27,35.86036,-78.820932,,,,1.3666666666666667,16.583333333333332
#1,Moving,04/23/2024 19:27,04/23/2024 20:03,,,10.2,52.2,17.1,,35.56666666666667
#1,Stopped,04/23/2024 20:03,04/23/2024 20:15,35.860324,-78.820844,,,,1.4,12.1
#1,Moving,04/23/2024 20:15,04/23/2024 20:23,,,2.3,38.9,16.3,,8.45
#1,Stopped,04/23/2024 20:23,04/23/2024 20:28,35.869758,-78.799592,,,,5.066666666666666,5.066666666666666
#1,Moving,04/23/2024 20:28,04/23/2024 20:46,,,6.6,50.4,22.1,,17.7
#1,Stopped,04/23/2024 20:46,04/23/2024 23:35,35.860316,-78.820852,,,,3.6166666666666667,168.9
#1,Moving,04/23/2024 23:35,04/23/2024 23:51,,,4.9,48.6,18.0,,15.766666666666667
#1,Stopped,04/23/2024 23:51,04/23/2024 23:55,35.860296,-78.820819,,,,1.1833333333333333,4.166666666666667
#2,Stopped,04/23/2024 00:01,04/23/2024 15:27,35.860121,-78.821383,,,,0.26666666666666666,986.0833333333334
#2,Moving,04/23/2024 15:27,04/23/2024 15:42,,,7.1,65.9,27.3,,15.216666666666667
#2,Stopped,04/23/2024 15:42,04/23/2024 16:00,35.913535,-78.782051,,,,2.4,17.633333333333333
